Player,Curr2,Curr3,Curr4,Curr5,Curr_Score,Pre2,Pre3,Pre4,Pre5,Prev_Score,Inc_Score
shiny,0,365,31,0,122.25,0,328,31,0,113.0,9.25
Oma2015,0,0,59,1,62.0,0,0,53,0,53.0,9.0
ZorO,62,805,100,1,310.45,62,797,96,0,301.45,9.0
brokenjade00,1,16,139,0,143.1,1,15,131,0,134.85,8.25
CorVusGlaive,0,0,8,0,8.0,0,0,0,0,0,8.0
Lord Greg,1,70,55,0,72.6,1,66,48,0,64.6,8.0
ReyN,218,479,287,0,428.55,218,475,280,0,420.55,8.0
Lord Pori,0,7,30,37,142.75,0,7,26,36,135.75,7.0
kela,606,284,103,0,234.6,606,283,97,0,228.35,6.25
Darth Maul 7,0,6,4,0,5.5,0,0,0,0,0,5.5
gibbs,0,191,6,0,53.75,0,174,5,0,48.5,5.25
Lil Lioness,826,942,3,0,321.1,826,922,3,0,316.1,5.0
Chaos2018,0,10,49,0,51.5,0,10,44,0,46.5,5.0
RaGnar,0,1,101,0,101.25,0,1,96,0,96.25,5.0
Little Tudor,517,790,25,0,274.2,516,776,24,0,269.6,4.6
Korioko,0,663,0,0,165.75,0,645,0,0,161.25,4.5
Tuatahi,0,54,21,0,34.5,0,51,18,0,30.75,3.75
PPaTT,0,160,0,0,40.0,0,146,0,0,36.5,3.5
Nagala,302,274,91,0,189.7,301,274,88,0,186.6,3.1
Wolffssonson,288,120,4,0,62.8,288,116,2,0,59.8,3.0
Ares Inferno,67,205,72,0,129.95,67,205,69,0,126.95,3.0
brokenjade03,34,68,3,0,23.4,34,58,3,0,20.9,2.5
CHOCO TWIST,0,58,18,0,32.5,0,57,16,0,30.25,2.25
brokenjade20,83,3,0,0,9.05,66,1,0,0,6.85,2.2
Rum runner,93,383,129,0,234.05,93,383,127,0,232.05,2.0
Orkwam,98,56,2,0,25.8,88,52,2,0,23.8,2.0
Chrispep,110,17,0,0,15.25,97,15,0,0,13.45,1.8
tank008,412,72,0,0,59.2,395,72,0,0,57.5,1.7
MaTeR,12,1,0,0,1.45,0,0,0,0,0,1.45
tiks n tease,1,37,17,0,26.35,1,32,17,0,25.1,1.25
Efah,352,301,143,1,256.45,352,300,142,1,255.2,1.25
Frickey,0,0,34,0,34.0,0,0,33,0,33.0,1.0
Pori Junior,40,117,38,0,71.25,40,113,38,0,70.25,1.0
scarletwar,3,2,0,0,0.8,0,0,0,0,0,0.8
kela2,5,8,0,0,2.5,5,5,0,0,1.75,0.75
APOLO1,161,13,0,0,19.35,157,12,0,0,18.7,0.65
kela3,17,0,0,0,1.7,13,0,0,0,1.3,0.4
Letel,560,0,0,0,56.0,557,0,0,0,55.7,0.3
brokenjade01,70,146,5,0,48.5,70,145,5,0,48.25,0.25
sonar,37,23,0,0,9.45,37,22,0,0,9.2,0.25
LilLetel,128,0,0,0,12.8,126,0,0,0,12.6,0.2
Ze Joker,0,0,18,0,18.0,0,0,18,0,18.0,0.0
DonKanallje,4,48,78,6,108.4,4,48,78,6,108.4,0.0
Durrandon800,1,111,2,0,29.85,1,111,2,0,29.85,0.0
Lord Casco,0,233,19,0,77.25,0,233,19,0,77.25,0.0
Borutha,2,0,0,0,0.2,2,0,0,0,0.2,0.0
tank010,0,0,0,0,0.0,0,0,0,0,0.0,0.0
tank009,14,0,0,0,1.4,14,0,0,0,1.4,0.0
Kpolice,0,0,0,0,0.0,0,0,0,0,0.0,0.0
Drunkard,1,3,0,0,0.85,1,3,0,0,0.85,0.0
Wolvesbane,1760,128,1,0,209.0,1760,128,1,0,209.0,0.0
Total,,,,,13276.15,,,,,12248.45,1027.70
