Player,Curr2,Curr3,Curr4,Curr5,Curr_Score,Pre2,Pre3,Pre4,Pre5,Prev_Score,Inc_Score
Dazzerrie,0,1,21,157,492.25,0,1,17,142,443.25,49.0
ThaNOs,0,4,147,65,343.0,0,3,137,53,296.75,46.25
LILth,0,8,303,4,317.0,0,5,268,3,278.25,38.75
CHOCO1,0,61,21,0,36.25,0,0,0,0,0,36.25
Anadolu EFES,0,0,248,10,278.0,0,0,222,7,243.0,35.0
TortureAngel,1,84,203,0,224.1,0,74,172,0,190.5,33.6
Lil Doom,0,0,251,16,299.0,0,0,219,16,267.0,32.0
LadyRooRoo,2,234,250,6,326.7,2,228,235,1,295.2,31.5
Snowbody,0,0,240,0,240.0,0,0,210,0,210.0,30.0
Loos,1,49,224,1,239.35,0,41,197,1,210.25,29.1
LadyMayMay,315,898,593,5,864.0,315,895,573,3,837.25,26.75
8track,8,667,189,0,356.55,8,645,168,0,330.05,26.5
alek,0,5,227,4,240.25,0,5,201,4,214.25,26.0
LadyLu,1,205,287,2,344.35,1,201,268,0,318.35,26.0
Wuesti,0,0,128,3,137.0,0,0,113,0,113.0,24.0
DagNab It,0,1,151,0,151.25,0,1,129,0,129.25,22.0
Orkam,0,39,190,0,199.75,0,36,169,0,178.0,21.75
tank007,0,141,150,0,185.25,0,140,129,0,164.0,21.25
YumYum,0,1,161,0,161.25,0,1,140,0,140.25,21.0
NeGan,0,0,284,0,284.0,0,0,263,0,263.0,21.0
Brokenjades,2,74,669,5,702.7,2,74,648,5,681.7,21.0
Loos shadow,290,608,359,0,540.0,290,601,340,0,519.25,20.75
ReyNema,2,22,115,10,150.7,0,18,102,8,130.5,20.2
Lil Stinker,1,0,181,0,181.1,0,0,161,0,161.0,20.1
Laxuss Redwyne,0,4,92,10,123.0,0,3,82,7,103.75,19.25
CullObsidian,0,2,124,0,124.5,0,2,105,0,105.5,19.0
Pennybags 7,0,4,132,0,133.0,0,4,114,0,115.0,18.0
Lord Tudor,0,10,141,8,167.5,0,10,129,6,149.5,18.0
Wolffsson,0,18,89,6,111.5,0,16,82,3,95.0,16.5
Jarv2s Stark,0,0,19,0,19.0,0,0,3,0,3.0,16.0
FLuffyBunny,0,0,144,0,144.0,0,0,129,0,129.0,15.0
malphite,0,1,184,0,184.25,0,1,169,0,169.25,15.0
Perun,0,3,136,1,139.75,0,3,125,0,125.75,14.0
Lady Lioness,0,52,105,0,118.0,0,52,92,0,105.0,13.0
ProximaMdnit,0,6,123,0,124.5,0,5,111,0,112.25,12.25
MinaOfDoom,0,0,107,3,116.0,0,0,98,2,104.0,12.0
Yum Yum 1,0,1,138,0,138.25,0,1,126,0,126.25,12.0
