Player,Curr2,Curr3,Curr4,Curr5,Curr_Score,Pre2,Pre3,Pre4,Pre5,Prev_Score,Inc_Score
TweetOrs,0,0,107,0,107.0,0,0,60,0,60.0,47.0
Dazzerrie,0,0,1,77,232.0,0,0,0,62,186.0,46.0
LILth,0,2,116,18,170.5,0,1,81,18,135.25,35.25
Jarvis Stark,0,20,129,2,140.0,0,20,98,1,106.0,34.0
alek,0,1,17,33,116.25,0,1,12,24,84.25,32.0
Brokenjades,0,0,43,33,142.0,0,0,38,24,110.0,32.0
Loos,5,35,99,0,108.25,5,30,72,0,80.0,28.25
Lil Doom,0,0,126,0,126.0,0,0,99,0,99.0,27.0
LadyLu,7,6,12,38,128.2,0,2,8,31,101.5,26.7
8track,8,817,462,0,667.05,8,809,438,0,641.05,26.0
TortureAngel,1,42,88,1,101.6,0,35,64,1,75.75,25.85
boovey,0,4,135,1,139.0,0,4,110,1,114.0,25.0
tank007,0,0,88,2,94.0,0,0,64,2,70.0,24.0
Snowbody,0,0,577,0,577.0,0,0,553,0,553.0,24.0
FLuffyBunny,0,31,378,0,385.75,0,31,354,0,361.75,24.0
LadyRooRoo,1,15,35,21,101.85,0,8,28,16,78.0,23.85
brokenjade00,0,2,69,0,69.5,0,2,46,0,46.5,23.0
YumYum,1,0,94,0,94.1,1,0,72,0,72.1,22.0
Anadolu EFES,0,0,93,0,93.0,0,0,71,0,71.0,22.0
Lord Tudor,3,28,269,31,369.3,3,27,254,29,348.05,21.25
HAWKEYE,0,0,89,0,89.0,0,0,68,0,68.0,21.0
Yummers,0,0,89,0,89.0,0,0,68,0,68.0,21.0
Orkam,0,0,78,0,78.0,0,0,58,0,58.0,20.0
LadyMayMay,0,13,19,33,121.25,0,9,12,29,101.25,20.0
ZorO,62,890,197,15,470.7,62,884,188,12,451.2,19.5
Laxuss Redwyne,2,8,43,5,60.2,2,3,34,2,40.95,19.25
Loos shadow,1,45,69,4,92.35,1,40,51,4,73.1,19.25
DagNab It,0,0,82,0,82.0,0,0,63,0,63.0,19.0
ThaNOs,0,0,32,46,170.0,0,0,19,44,151.0,19.0
Lil Stinker,0,0,85,0,85.0,0,0,66,0,66.0,19.0
Perun,0,0,68,0,68.0,0,0,51,0,51.0,17.0
ReyNema,7,67,264,39,398.45,6,67,252,38,383.35,15.1
Lord Pori,0,8,62,86,322.0,0,8,60,82,308.0,14.0
brokenjade01,0,104,26,0,52.0,0,81,18,0,38.25,13.75
Pennybags 7,1,0,80,0,80.1,1,0,67,0,67.1,13.0
shiny,0,149,4,0,41.25,0,115,0,0,28.75,12.5
DaRyL DiXoN,0,0,72,0,72.0,0,0,60,0,60.0,12.0
kela,0,5,30,0,31.25,0,5,19,0,20.25,11.0
ReyN,222,522,409,0,561.7,222,522,399,0,551.7,10.0
Lady Lioness,0,68,258,1,278.0,0,66,249,1,268.5,9.5
StuART,0,1,55,0,55.25,0,1,48,0,48.25,7.0
brokenjade03,0,62,10,0,25.5,0,46,7,0,18.5,7.0
Lord Greg,0,19,25,2,35.75,0,16,19,2,29.0,6.75
Tuatahi,0,56,91,0,105.0,0,56,85,0,99.0,6.0
Efah,358,308,162,2,280.8,358,308,160,1,275.8,5.0
Jarvs Stark,0,0,42,0,42.0,0,0,37,0,37.0,5.0
NorBert,0,0,5,0,5.0,0,0,0,0,0,5.0
Little Tudor,523,931,60,0,345.05,523,928,56,0,340.3,4.75
Lil Lioness,827,1199,7,0,389.45,827,1181,7,0,384.95,4.5
PPaTT,0,335,0,0,83.75,0,320,0,0,80.0,3.75
CHOCO1,0,61,3,0,18.25,0,48,3,0,15.0,3.25
Orkwam,0,49,0,0,12.25,0,36,0,0,9.0,3.25
Oma2015,0,0,150,1,153.0,0,0,147,1,150.0,3.0
Rum runner,0,2,8,0,8.5,0,0,6,0,6.0,2.5
KeVIN,4,39,15,0,25.15,4,34,14,0,22.9,2.25
tiks n tease,1,90,28,0,50.6,1,85,27,0,48.35,2.25
CHOCO TWIST,0,143,37,0,72.75,0,134,37,0,70.5,2.25
Ares Inferno,73,223,92,0,155.05,70,220,91,0,153.0,2.05
King BoB,70,9,0,0,9.25,58,6,0,0,7.3,1.95
Nagala,309,287,114,0,216.65,306,285,113,0,214.85,1.8
tank009,35,28,0,0,10.5,35,21,0,0,8.75,1.75
LagerTha,0,0,7,0,7.0,0,0,6,0,6.0,1.0
Frickey,0,0,53,0,53.0,0,0,52,0,52.0,1.0
Pori Junior,42,185,44,0,94.45,42,181,44,0,93.45,1.0
Chaos2018,0,10,123,1,128.5,0,10,122,1,127.5,1.0
Wolffsson,0,22,187,21,255.5,0,22,186,21,254.5,1.0
DRAQUILIAN,0,3,0,0,0.75,0,0,0,0,0.0,0.75
Wolvesbane,1760,150,2,0,215.5,1760,147,2,0,214.75,0.75
kela2,1,2,0,0,0.6,0,0,0,0,0,0.6
kela3,5,0,0,0,0.5,0,0,0,0,0,0.5
APOLO1,250,21,0,0,30.25,248,20,0,0,29.8,0.45
RaGFarm,0,1,1,0,1.25,0,0,1,0,1.0,0.25
Wolffssonson,288,151,47,0,113.55,288,151,47,0,113.55,0.0
RaGnar,0,0,29,0,29.0,0,0,29,0,29.0,0.0
Flowki,0,0,0,0,0.0,0,0,0,0,0.0,0.0
RaggyWood,0,0,0,0,0.0,0,0,0,0,0.0,0.0
MinaOfDoom,0,0,0,0,0.0,0,0,0,0,0.0,0.0
Lord Casco,0,233,19,0,77.25,0,233,19,0,77.25,0.0
Letel,586,0,0,0,58.6,586,0,0,0,58.6,0.0
Borutha,5,1,0,0,0.75,5,1,0,0,0.75,0.0
tank010,0,0,0,0,0.0,0,0,0,0,0.0,0.0
tank008,0,7,0,0,1.75,0,7,0,0,1.75,0.0
LilLetel,138,0,0,0,13.8,138,0,0,0,13.8,0.0
gibbs,0,64,0,0,16.0,0,64,0,0,16.0,0.0
malphite,0,6,53,0,54.5,0,6,53,0,54.5,0.0
Drunkard,5,5,0,0,1.75,5,5,0,0,1.75,0.0
Wuesti,0,0,247,3,256.0,0,0,247,3,256.0,0.0
sonar,42,44,0,0,15.2,42,44,0,0,15.2,0.0
Total,,,,,10729.55,,,,,9746.20,983.35
