Player,Curr2,Curr3,Curr4,Curr5,Curr_Score,Pre2,Pre3,Pre4,Pre5,Prev_Score,Inc_Score
Brokenjades,0,0,97,100,397.0,0,0,69,39,186.0,211.0
Dazzerrie,0,0,7,174,529.0,0,0,1,110,331.0,198.0
LILth,0,4,298,39,416.0,0,2,179,18,233.5,182.5
TweetOrs,0,0,307,23,376.0,0,0,206,0,206.0,170.0
Jarvis Stark,0,20,283,16,336.0,0,20,182,6,205.0,131.0
alek,1,3,30,95,315.85,1,2,20,57,191.6,124.25
ThaNOs,0,3,170,57,341.75,0,0,74,49,221.0,120.75
LadyMayMay,1,32,38,82,292.1,1,19,25,48,173.85,118.25
LadyLu,7,20,25,87,291.7,7,11,17,53,179.45,112.25
Loos,5,55,253,0,267.25,5,39,150,0,160.25,107.0
Lil Doom,0,0,279,1,282.0,0,0,178,0,178.0,104.0
FLuffyBunny,0,31,546,0,553.75,0,31,443,0,450.75,103.0
tank007,0,0,158,28,242.0,0,0,114,9,141.0,101.0
LadyRooRoo,1,32,69,53,236.1,1,18,42,32,142.6,93.5
Snowbody,0,0,716,0,716.0,0,0,624,0,624.0,92.0
TortureAngel,1,111,198,1,228.85,1,66,119,1,138.6,90.25
Loos shadow,3,98,175,7,220.8,1,58,105,4,131.6,89.2
Anadolu EFES,0,0,217,2,223.0,0,0,131,2,137.0,86.0
8track,9,898,562,0,787.4,8,840,493,0,703.8,83.6
HAWKEYE,0,4,196,0,197.0,0,0,119,0,119.0,78.0
Yummers,0,0,204,0,204.0,0,0,126,0,126.0,78.0
Lord Tudor,4,48,338,45,485.4,3,39,291,36,409.05,76.35
YumYum,1,0,211,0,211.1,1,0,135,0,135.1,76.0
Orkam,0,29,181,0,188.25,0,0,115,0,115.0,73.25
ReyNema,8,78,337,51,510.3,7,70,290,43,437.2,73.1
DagNab It,0,0,189,0,189.0,0,0,118,0,118.0,71.0
ZorO,63,911,243,33,576.05,63,897,210,22,506.55,69.5
Lil Stinker,0,0,188,0,188.0,0,0,119,0,119.0,69.0
brokenjade00,0,2,149,2,155.5,0,2,89,0,89.5,66.0
Pennybags 7,1,0,168,0,168.1,1,0,103,0,103.1,65.0
malphite,0,6,100,11,134.5,0,6,71,0,72.5,62.0
DaRyL DiXoN,0,4,154,0,155.0,0,0,94,0,94.0,61.0
shiny,0,388,12,0,109.0,0,225,4,0,60.25,48.75
StuART,0,7,119,0,120.75,0,1,72,0,72.25,48.5
ReyN,222,541,474,0,631.45,222,529,432,0,586.45,45.0
Lord Pori,0,9,74,109,403.25,0,9,64,98,360.25,43.0
NorBert,0,3,56,0,56.75,0,0,17,0,17.0,39.75
Lady Lioness,0,73,318,1,339.25,0,71,279,1,299.75,39.5
LagerTha,0,0,56,0,56.0,0,0,17,0,17.0,39.0
Little Tudor,524,1007,97,0,401.15,524,956,72,0,363.4,37.75
Laxuss Redwyne,2,21,65,15,115.45,2,8,50,9,79.2,36.25
Perun,0,0,131,0,131.0,0,0,100,0,100.0,31.0
brokenjade01,0,220,40,4,107.0,0,182,31,0,76.5,30.5
Lord Greg,1,35,64,2,78.85,0,26,39,2,51.5,27.35
Oma2015,0,0,185,2,191.0,0,0,158,2,164.0,27.0
Tuatahi,1,59,108,6,140.85,0,56,100,0,114.0,26.85
