Player,Curr2,Curr3,Curr4,Curr5,Curr_Score,Pre2,Pre3,Pre4,Pre5,Prev_Score,Inc_Score
Lil Lioness,827,1283,19,0,422.45,827,1234,7,0,398.2,24.25
RaGnar,0,0,73,0,73.0,0,0,49,0,49.0,24.0
Chaos2018,0,10,157,2,165.5,0,10,134,2,142.5,23.0
brokenjade03,0,148,22,0,59.0,0,112,11,0,39.0,20.0
KeVIN,4,93,31,0,54.65,4,53,22,0,35.65,19.0
CHOCO1,0,103,19,2,50.75,0,75,8,2,32.75,18.0
kela,1,22,59,0,64.6,0,12,44,0,47.0,17.6
Wolffsson,0,22,205,21,273.5,0,22,189,21,257.5,16.0
RaGFarm,0,1,16,0,16.25,0,1,1,0,1.25,15.0
CHOCO TWIST,0,165,53,1,97.25,0,153,44,0,82.25,15.0
PPaTT,0,418,0,0,104.5,0,362,0,0,90.5,14.0
Frickey,2,3,69,0,69.95,0,0,56,0,56.0,13.95
Flowki,0,0,13,0,13.0,0,0,0,0,0.0,13.0
RaggyWood,0,0,12,0,12.0,0,0,0,0,0.0,12.0
Orkwam,0,120,0,0,30.0,0,72,0,0,18.0,12.0
Queen Jerri,0,45,1,0,12.25,0,5,1,0,2.25,10.0
Nagala,318,296,123,0,228.8,310,290,116,0,219.5,9.3
gibbs,0,84,7,0,28.0,0,78,0,0,19.5,8.5
MinaOfDoom,0,0,8,2,14.0,0,0,0,2,6.0,8.0
King BoB,165,9,1,0,19.75,99,9,0,0,12.15,7.6
Pori Junior,42,209,48,0,104.45,42,195,45,0,97.95,6.5
Wolvesbane,1760,179,2,0,222.75,1760,154,2,0,216.5,6.25
Efah,361,313,165,3,288.35,359,310,163,2,282.4,5.95
Ares Inferno,78,234,96,0,162.3,74,226,93,0,156.9,5.4
tank009,35,59,0,0,18.25,35,38,0,0,13.0,5.25
Rum runner,0,3,21,0,21.75,0,2,17,0,17.5,4.25
tiks n tease,4,108,30,0,57.4,1,98,29,0,53.6,3.8
APOLO1,289,22,0,0,34.4,266,21,0,0,31.85,2.55
kela2,19,10,0,0,4.4,7,5,0,0,1.95,2.45
tank008,0,16,0,0,4.0,0,7,0,0,1.75,2.25
kela3,30,1,0,0,3.25,15,0,0,0,1.5,1.75
sonar,46,52,0,0,17.6,42,47,0,0,15.95,1.65
tank010,2,0,0,0,0.2,0,0,0,0,0.0,0.2
Wolffssonson,288,151,47,0,113.55,288,151,47,0,113.55,0.0
Lord Casco,0,233,19,0,77.25,0,233,19,0,77.25,0.0
Letel,586,0,0,0,58.6,586,0,0,0,58.6,0.0
Borutha,5,1,0,0,0.75,5,1,0,0,0.75,0.0
LilLetel,138,0,0,0,13.8,138,0,0,0,13.8,0.0
Drunkard,6,5,0,0,1.85,6,5,0,0,1.85,0.0
Total,,,,,16310.60,,,,,12206.20,4104.40
