Player,Curr2,Curr3,Curr4,Curr5,Curr_Score,Pre2,Pre3,Pre4,Pre5,Prev_Score,Inc_Score
8track,8,809,438,0,641.05,0,0,0,0,0,641.05
Snowbody,0,0,553,0,553.0,0,0,0,0,0,553.0
ReyN,222,522,399,0,551.7,0,0,0,0,0,551.7
ZorO,62,884,188,12,451.2,0,0,0,0,0,451.2
Lil Lioness,827,1181,7,0,384.95,0,0,0,0,0,384.95
ReyNema,6,67,252,38,383.35,0,0,0,0,0,383.35
FLuffyBunny,0,31,354,0,361.75,0,0,0,0,0,361.75
Lord Tudor,3,27,254,29,348.05,0,0,0,0,0,348.05
Little Tudor,523,928,56,0,340.3,0,0,0,0,0,340.3
Lord Pori,0,8,60,82,308.0,0,0,0,0,0,308.0
Efah,358,308,160,1,275.8,0,0,0,0,0,275.8
Lady Lioness,0,66,249,1,268.5,0,0,0,0,0,268.5
Wuesti,0,0,247,3,256.0,0,0,0,0,0,256.0
Wolffsson,0,22,186,21,254.5,0,0,0,0,0,254.5
Nagala,306,285,113,0,214.85,0,0,0,0,0,214.85
Wolvesbane,1760,147,2,0,214.75,0,0,0,0,0,214.75
Dazzerrie,0,0,0,62,186.0,0,0,0,0,0,186.0
Ares Inferno,70,220,91,0,153.0,0,0,0,0,0,153.0
ThaNOs,0,0,19,44,151.0,0,0,0,0,0,151.0
Oma2015,0,0,147,1,150.0,0,0,0,0,0,150.0
LILth,0,1,81,18,135.25,0,0,0,0,0,135.25
Chaos2018,0,10,122,1,127.5,0,0,0,0,0,127.5
boovey,0,4,110,1,114.0,0,0,0,0,0,114.0
Wolffssonson,288,151,47,0,113.55,0,0,0,0,0,113.55
Brokenjades,0,0,38,24,110.0,0,0,0,0,0,110.0
Jarvis Stark,0,20,98,1,106.0,0,0,0,0,0,106.0
LadyLu,0,2,8,31,101.5,0,0,0,0,0,101.5
LadyMayMay,0,9,12,29,101.25,0,0,0,0,0,101.25
Lil Doom,0,0,99,0,99.0,0,0,0,0,0,99.0
Tuatahi,0,56,85,0,99.0,0,0,0,0,0,99.0
Pori Junior,42,181,44,0,93.45,0,0,0,0,0,93.45
alek,0,1,12,24,84.25,0,0,0,0,0,84.25
Loos,5,30,72,0,80.0,0,0,0,0,0,80.0
PPaTT,0,320,0,0,80.0,0,0,0,0,0,80.0
LadyRooRoo,0,8,28,16,78.0,0,0,0,0,0,78.0
Lord Casco,0,233,19,0,77.25,0,0,0,0,0,77.25
TortureAngel,0,35,64,1,75.75,0,0,0,0,0,75.75
Loos shadow,1,40,51,4,73.1,0,0,0,0,0,73.1
YumYum,1,0,72,0,72.1,0,0,0,0,0,72.1
Anadolu EFES,0,0,71,0,71.0,0,0,0,0,0,71.0
CHOCO TWIST,0,134,37,0,70.5,0,0,0,0,0,70.5
tank007,0,0,64,2,70.0,0,0,0,0,0,70.0
HAWKEYE,0,0,68,0,68.0,0,0,0,0,0,68.0
Yummers,0,0,68,0,68.0,0,0,0,0,0,68.0
Pennybags 7,1,0,67,0,67.1,0,0,0,0,0,67.1
Lil Stinker,0,0,66,0,66.0,0,0,0,0,0,66.0
DagNab It,0,0,63,0,63.0,0,0,0,0,0,63.0
TweetOrs,0,0,60,0,60.0,0,0,0,0,0,60.0
DaRyL DiXoN,0,0,60,0,60.0,0,0,0,0,0,60.0
Letel,586,0,0,0,58.6,0,0,0,0,0,58.6
Orkam,0,0,58,0,58.0,0,0,0,0,0,58.0
malphite,0,6,53,0,54.5,0,0,0,0,0,54.5
Frickey,0,0,52,0,52.0,0,0,0,0,0,52.0
Perun,0,0,51,0,51.0,0,0,0,0,0,51.0
tiks n tease,1,85,27,0,48.35,0,0,0,0,0,48.35
StuART,0,1,48,0,48.25,0,0,0,0,0,48.25
brokenjade00,0,2,46,0,46.5,0,0,0,0,0,46.5
Laxuss Redwyne,2,3,34,2,40.95,0,0,0,0,0,40.95
brokenjade01,0,81,18,0,38.25,0,0,0,0,0,38.25
Jarvs Stark,0,0,37,0,37.0,0,0,0,0,0,37.0
APOLO1,248,20,0,0,29.8,0,0,0,0,0,29.8
RaGnar,0,0,29,0,29.0,0,0,0,0,0,29.0
Lord Greg,0,16,19,2,29.0,0,0,0,0,0,29.0
shiny,0,115,0,0,28.75,0,0,0,0,0,28.75
KeVIN,4,34,14,0,22.9,0,0,0,0,0,22.9
kela,0,5,19,0,20.25,0,0,0,0,0,20.25
brokenjade03,0,46,7,0,18.5,0,0,0,0,0,18.5
gibbs,0,64,0,0,16.0,0,0,0,0,0,16.0
