Player,Curr2,Curr3,Curr4,Curr5,Curr_Score,Pre2,Pre3,Pre4,Pre5,Prev_Score,Inc_Score
sonar,42,44,0,0,15.2,0,0,0,0,0,15.2
CHOCO1,0,48,3,0,15.0,0,0,0,0,0,15.0
LilLetel,138,0,0,0,13.8,0,0,0,0,0,13.8
Orkwam,0,36,0,0,9.0,0,0,0,0,0,9.0
tank009,35,21,0,0,8.75,0,0,0,0,0,8.75
King BoB,58,6,0,0,7.3,0,0,0,0,0,7.3
Rum runner,0,0,6,0,6.0,0,0,0,0,0,6.0
LagerTha,0,0,6,0,6.0,0,0,0,0,0,6.0
tank008,0,7,0,0,1.75,0,0,0,0,0,1.75
Drunkard,5,5,0,0,1.75,0,0,0,0,0,1.75
RaGFarm,0,0,1,0,1.0,0,0,0,0,0,1.0
Borutha,5,1,0,0,0.75,0,0,0,0,0,0.75
Flowki,0,0,0,0,0.0,0,0,0,0,0,0.0
RaggyWood,0,0,0,0,0.0,0,0,0,0,0,0.0
MinaOfDoom,0,0,0,0,0.0,0,0,0,0,0,0.0
tank010,0,0,0,0,0.0,0,0,0,0,0,0.0
DRAQUILIAN,0,0,0,0,0.0,0,0,0,0,0,0.0
Knowbody,0,0,0,0,0.0,0,0,0,0,0,0.0
Kpolice,0,0,0,0,0.0,0,0,0,0,0,0.0
Total,,,,,9746.20,,,,,0.00,9746.20
