Player,Curr2,Curr3,Curr4,Curr5,Curr_Score,Pre2,Pre3,Pre4,Pre5,Prev_Score,Inc_Score
lilthdsdd,0,10,418,4,432.5,0,0,0,0,0,432.5
ThaNOs,0,4,154,122,521.0,0,4,149,96,438.0,83.0
Jarvis Stark,0,3,86,2,92.75,0,0,39,1,42.0,50.75
CHOCO 1,0,83,29,0,49.75,0,0,0,0,0,49.75
Dazzerrie,0,1,24,201,627.25,0,1,21,186,579.25,48.0
alek,0,5,239,42,366.25,0,5,237,29,325.25,41.0
Brokenjades,2,74,758,7,797.7,2,74,722,7,761.7,36.0
Snowbody,0,0,323,0,323.0,0,0,293,0,293.0,30.0
LadyLu,1,213,319,17,423.35,1,211,314,9,393.85,29.5
Loos,1,69,307,1,327.35,1,55,281,1,297.85,29.5
Lil Doom,0,0,333,16,381.0,0,0,304,16,352.0,29.0
Jarvs Stark,0,0,29,0,29.0,0,0,0,0,0,29.0
LadyMayMay,315,903,623,17,931.25,315,903,616,10,903.25,28.0
TortureAngel,1,104,266,2,298.1,1,97,240,2,270.35,27.75
shiny,0,475,59,0,177.75,0,438,43,0,152.5,25.25
Orkam,0,42,256,0,266.5,0,41,231,0,241.25,25.25
malphite,0,4,245,0,246.0,0,3,220,0,220.75,25.25
YumYum,0,1,223,0,223.25,0,1,198,0,198.25,25.0
Anadolu EFES,0,0,317,14,359.0,0,0,292,14,334.0,25.0
LadyRooRoo,2,241,287,15,392.45,2,239,278,10,367.95,24.5
8track,8,690,241,0,414.3,8,681,219,0,390.05,24.25
NeGan,0,4,346,0,347.0,0,0,323,0,323.0,24.0
ReyNema,2,39,155,16,212.95,2,33,139,14,189.45,23.5
tank007,0,160,206,0,246.0,0,160,184,0,224.0,22.0
Loos shadow,290,624,416,0,601.0,290,617,396,0,579.25,21.75
Lil Stinker,1,0,235,0,235.1,1,0,215,0,215.1,20.0
RaGnar,0,1,134,0,134.25,0,1,115,0,115.25,19.0
DagNab It,0,1,202,0,202.25,0,1,184,0,184.25,18.0
Perun,0,3,184,1,187.75,0,3,166,1,169.75,18.0
Yum Yum 1,0,1,185,0,185.25,0,1,168,0,168.25,17.0
Pennybags 7,0,4,175,0,176.0,0,4,159,0,160.0,16.0
Wolffsson,0,18,113,14,159.5,0,18,109,10,143.5,16.0
CullObsidian,0,5,165,0,166.25,0,2,150,0,150.5,15.75
MinaOfDoom,0,0,131,3,140.0,0,0,116,3,125.0,15.0
Wuesti,0,0,161,3,170.0,0,0,146,3,155.0,15.0
Laxuss Redwyne,0,7,111,15,157.75,0,5,106,12,143.25,14.5
Darth Maul 7,10,20,54,0,60.0,3,13,42,0,45.55,14.45
Lord Tudor,1,12,173,11,209.1,1,11,159,11,194.85,14.25
Lady Lioness,0,54,141,0,154.5,0,54,128,0,141.5,13.0
ReyN,218,493,317,0,462.05,218,488,306,0,449.8,12.25
Lord Pori,0,8,39,44,173.0,0,7,35,42,162.75,10.25
FLuffyBunny,0,0,182,0,182.0,0,0,172,0,172.0,10.0
ZorO,62,836,123,1,341.2,62,831,115,1,331.95,9.25
gibbs,0,272,7,0,75.0,0,236,7,0,66.0,9.0
Lord Greg,2,93,74,0,97.45,2,86,67,0,88.7,8.75
oma2015,0,0,84,1,87.0,0,0,76,1,79.0,8.0
Tuatahi,0,55,43,0,56.75,0,55,35,0,48.75,8.0
kela,606,292,118,0,251.6,606,288,111,0,243.6,8.0
ProximaMdnit,0,12,143,0,146.0,0,9,136,0,138.25,7.75
brokenjade01,70,196,11,0,67.0,70,178,8,0,59.5,7.5
brokenjade00,1,16,159,0,163.1,1,16,152,0,156.1,7.0
Chaos2018,0,10,69,0,71.5,0,10,62,0,64.5,7.0
Korioko,0,732,0,0,183.0,0,707,0,0,176.75,6.25
Frickey,0,0,42,0,42.0,0,0,36,0,36.0,6.0
Wolffssonson,288,149,9,0,75.05,288,147,4,0,69.55,5.5
Lil Lioness,826,1005,5,0,338.85,826,988,4,0,333.6,5.25
Little Tudor,519,840,27,0,288.9,517,820,27,0,283.7,5.2
CHOCO TWIST,0,82,26,0,46.5,0,66,25,0,41.5,5.0
brokenjade03,34,118,3,0,35.9,34,104,3,0,32.4,3.5
tank008,483,72,0,0,66.3,449,72,0,0,62.9,3.4
Efah,354,301,146,1,259.65,352,301,143,1,256.45,3.2
Orkwam,115,79,2,0,33.25,111,68,2,0,30.1,3.15
Ares Inferno,67,205,77,0,134.95,67,205,74,0,131.95,3.0
PPaTT,0,201,0,0,50.25,0,190,0,0,47.5,2.75
Rum runner,93,390,140,0,246.8,93,388,138,0,244.3,2.5
brokenjade20,150,4,0,0,16.0,126,4,0,0,13.6,2.4
MaTeR,61,2,0,0,6.6,38,2,0,0,4.3,2.3
Nagala,302,274,93,0,191.7,302,274,91,0,189.7,2.0
tiks n tease,1,54,19,0,32.6,1,48,19,0,31.1,1.5
Pori Junior,40,132,38,0,75.0,40,126,38,0,73.5,1.5
tank009,23,0,0,0,2.3,14,0,0,0,1.4,0.9
APOLO1,182,15,0,0,21.95,177,14,0,0,21.2,0.75
kela2,13,14,0,0,4.8,9,13,0,0,4.15,0.65
kela3,31,0,0,0,3.1,27,0,0,0,2.7,0.4
Borutha,2,1,0,0,0.45,2,0,0,0,0.2,0.25
Wolvesbane,1760,134,2,0,211.5,1760,133,2,0,211.25,0.25
Letel,574,0,0,0,57.4,572,0,0,0,57.2,0.2
LilLetel,135,0,0,0,13.5,134,0,0,0,13.4,0.1
DonKanallje,4,48,78,6,108.4,4,48,78,6,108.4,0.0
Durrandon800,1,111,2,0,29.85,1,111,2,0,29.85,0.0
Lord Casco,0,233,19,0,77.25,0,233,19,0,77.25,0.0
tank010,0,0,0,0,0.0,0,0,0,0,0.0,0.0
scarletwar,3,2,0,0,0.8,3,2,0,0,0.8,0.0
Kpolice,0,0,0,0,0.0,0,0,0,0,0.0,0.0
Drunkard,1,3,0,0,0.85,1,3,0,0,0.85,0.0
sonar,37,25,0,0,9.95,37,25,0,0,9.95,0.0
Total,,,,,16263.20,,,,,14647.10,1616.10
