,Players,Prev4's,Prev5's,Prev6's,Cur4's,Cur5's,Cur6's,Inc4's,Inc5's,Inc6's,4@1point,5@5point,6@5point,total
26,bjo3,0,0,0,223,26,0,223,26,0,223,130,0,353
49,Dag Nab It,0,0,0,150,0,0,150,0,0,150,0,0,150
2,Dazzerrie,3,27,15,3,51,20,0,24,5,0,120,25,145
0,Brokenjades,277,1268,60,293,1286,63,16,18,3,16,90,15,121
5,LILth,102,35,5,109,46,5,7,11,0,7,55,0,62
3,Lil Doom,53,26,5,60,35,7,7,9,2,7,45,10,62
20,8track,2157,70,0,2165,79,0,8,9,0,8,45,0,53
54,tank008,33,0,0,85,0,0,52,0,0,52,0,0,52
22,TortureAngel,103,42,0,112,50,0,9,8,0,9,40,0,49
15,YumYum,147,0,0,175,3,1,28,3,1,28,15,5,48
45,Yummers,152,0,0,180,2,0,28,2,0,28,10,0,38
13,LadyMayMay,25,24,1,27,31,1,2,7,0,2,35,0,37
12,HAWKEYE,14,32,1,14,39,1,0,7,0,0,35,0,35
1,alek,8,32,28,8,34,33,0,2,5,0,10,25,35
30,Sturmcrow,118,8,0,125,13,0,7,5,0,7,25,0,32
8,Loos shadow,1475,118,3,1481,123,3,6,5,0,6,25,0,31
7,Loos,1592,113,4,1598,118,4,6,5,0,6,25,0,31
50,XMOONX,97,0,0,128,0,0,31,0,0,31,0,0,31
24,LadyLu,14,26,0,18,31,0,4,5,0,4,25,0,29
9,Perun,95,0,2,110,1,3,15,1,1,15,5,5,25
10,ZorO,706,151,2,711,155,2,5,4,0,5,20,0,25
32,Pennybags 7,8,8,0,8,13,0,0,5,0,0,25,0,25
27,ladyrooroo,26,21,0,29,25,0,3,4,0,3,20,0,23
43,ReyN,0,0,0,3,4,0,3,4,0,3,20,0,23
18,ReyNema,961,223,0,978,224,0,17,1,0,17,5,0,22
29,RamBO,10,10,0,10,14,0,0,4,0,0,20,0,20
16,Lil Stinker,96,0,1,116,0,1,20,0,0,20,0,0,20
4,Lady Lioness,31,0,6,42,0,7,11,0,1,11,0,5,16
37,FLuffyBunny,1462,8,0,1477,8,0,15,0,0,15,0,0,15
28,LeGOLaS,8,12,0,8,15,0,0,3,0,0,15,0,15
19,Lord Tudor,790,146,0,794,148,0,4,2,0,4,10,0,14
39,Little Tudor,552,4,0,560,5,0,8,1,0,8,5,0,13
21,Wolffsson,651,67,0,653,69,0,2,2,0,2,10,0,12
23,Laxuss Redwyne,222,47,0,223,49,0,1,2,0,1,10,0,11
52,Frickey,104,0,0,114,0,0,10,0,0,10,0,0,10
33,Lord Greg,289,11,0,294,12,0,5,1,0,5,5,0,10
47,Drunkard,3,0,0,6,1,0,3,1,0,3,5,0,8
42,tank010,14,5,0,20,5,0,6,0,0,6,0,0,6
58,tank009,12,0,0,18,0,0,6,0,0,6,0,0,6
38,ygritte,8,7,0,8,8,0,0,1,0,0,5,0,5
6,RaGnar,1,3,4,1,3,5,0,0,1,0,0,5,5
34,kela,22,11,0,26,11,0,4,0,0,4,0,0,4
25,bjo1,31,27,0,35,27,0,4,0,0,4,0,0,4
64,kela2,2,0,0,5,0,0,3,0,0,3,0,0,3
40,Chaos2018,449,5,0,452,5,0,3,0,0,3,0,0,3
11,Oma2015,525,10,2,528,10,2,3,0,0,3,0,0,3
69,KeVIN,0,0,0,2,0,0,2,0,0,2,0,0,2
62,brokenjade02,10,0,0,12,0,0,2,0,0,2,0,0,2
65,Lil Lioness,3,0,0,5,0,0,2,0,0,2,0,0,2
70,King BoB,0,0,0,2,0,0,2,0,0,2,0,0,2
44,APOLO1,19,3,0,21,3,0,2,0,0,2,0,0,2
72,Orkam,0,0,0,1,0,0,1,0,0,1,0,0,1
56,BOZKURT YURT,59,0,0,60,0,0,1,0,0,1,0,0,1
68,gibbs,1,0,0,2,0,0,1,0,0,1,0,0,1
55,Queen Jerri,65,0,0,66,0,0,1,0,0,1,0,0,1
17,malphite,1,0,1,2,0,1,1,0,0,1,0,0,1
48,shiny,363,0,0,364,0,0,1,0,0,1,0,0,1
14,CHOCO 1,262,23,1,263,23,1,1,0,0,1,0,0,1
31,bj20,13,13,0,13,13,0,0,0,0,0,0,0,0
84,Rum runner,0,0,0,0,0,0,0,0,0,0,0,0,0
83,needshard5,0,0,0,0,0,0,0,0,0,0,0,0,0
82,mentorshard5,0,0,0,0,0,0,0,0,0,0,0,0,0
81,bj00,0,0,0,0,0,0,0,0,0,0,0,0,0
80,Blobeer,0,0,0,0,0,0,0,0,0,0,0,0,0
79,kela8,0,0,0,0,0,0,0,0,0,0,0,0,0
78,kela6,0,0,0,0,0,0,0,0,0,0,0,0,0
77,Aureserve,0,0,0,0,0,0,0,0,0,0,0,0,0
76,JuGGernaut 2,0,0,0,0,0,0,0,0,0,0,0,0,0
75,JuGGernaut,0,0,0,0,0,0,0,0,0,0,0,0,0
74,RaFiki,0,0,0,0,0,0,0,0,0,0,0,0,0
73,kela3,0,0,0,0,0,0,0,0,0,0,0,0,0
53,Pori Junior,0,0,0,0,0,0,0,0,0,0,0,0,0
71,jujuFarm,1,0,0,1,0,0,0,0,0,0,0,0,0
51,LagerTha,119,0,0,119,0,0,0,0,0,0,0,0,0
