,Players,Prev4's,Prev5's,Prev6's,Cur4's,Cur5's,Cur6's,Inc4's,Inc5's,Inc6's,4@1point,5@5point,6@5point,total
0,Brokenjades,0,0,0,294,1431,90,294,1431,90,294,7155,450,7899
16,8track,0,0,0,2190,174,0,2190,174,0,2190,870,0,3060
6,Loos,0,0,0,1658,123,6,1658,123,6,1658,615,30,2303
15,ReyNema,0,0,0,1114,235,0,1114,235,0,1114,1175,0,2289
5,Loos shadow,0,0,0,1560,127,6,1560,127,6,1560,635,30,2225
21,FLuffyBunny,0,0,0,1549,70,0,1549,70,0,1549,350,0,1899
9,ZorO,0,0,0,739,185,2,739,185,2,739,925,10,1674
17,Lord Tudor,0,0,0,800,152,0,800,152,0,800,760,0,1560
19,Wolffsson,0,0,0,714,77,0,714,77,0,714,385,0,1099
4,LILth,0,0,0,130,153,6,130,153,6,130,765,30,925
18,TortureAngel,0,0,0,139,141,0,139,141,0,139,705,0,844
1,alek,0,0,0,26,86,76,26,86,76,26,430,380,836
10,Oma2015,0,0,0,565,12,2,565,12,2,565,60,10,635
31,Little Tudor,0,0,0,569,5,0,569,5,0,569,25,0,594
7,Perun,0,0,0,231,59,6,231,59,6,231,295,30,556
23,Laxuss Redwyne,0,0,0,247,53,0,247,53,0,247,265,0,512
32,Chaos2018,0,0,0,481,5,0,481,5,0,481,25,0,506
20,tank008,0,0,0,117,72,0,117,72,0,117,360,0,477
11,LadyMayMay,0,0,0,51,77,1,51,77,1,51,385,5,441
40,shiny,0,0,0,438,0,0,438,0,0,438,0,0,438
12,LadyLu,0,0,0,44,75,1,44,75,1,44,375,5,424
13,CHOCO1,0,0,0,281,23,1,281,23,1,281,115,5,401
22,LadyRooRoo,0,0,0,52,67,0,52,67,0,52,335,0,387
28,Lord Greg,0,0,0,317,12,0,317,12,0,317,60,0,377
24,Sturmcrow,0,0,0,184,36,0,184,36,0,184,180,0,364
29,CHOCO TWIST,0,0,0,276,9,0,276,9,0,276,45,0,321
2,Lady Lioness,0,0,0,83,29,9,83,29,9,83,145,45,273
25,bj01,0,0,0,36,35,0,36,35,0,36,175,0,211
26,kela,0,0,0,48,23,0,48,23,0,48,115,0,163
30,ReyN,0,0,0,91,7,0,91,7,0,91,35,0,126
41,LagerTha,0,0,0,120,0,0,120,0,0,120,0,0,120
42,Frickey,0,0,0,115,0,0,115,0,0,115,0,0,115
27,bj20,0,0,0,13,14,0,13,14,0,13,70,0,83
43,Queen Jerri,0,0,0,79,0,0,79,0,0,79,0,0,79
3,RaGnar,0,0,0,1,3,8,1,3,8,1,15,40,56
38,Drunkard,0,0,0,40,2,0,40,2,0,40,10,0,50
33,sonar,0,0,0,24,5,0,24,5,0,24,25,0,49
44,Wolffssonson,0,0,0,47,0,0,47,0,0,47,0,0,47
35,APOLO1,0,0,0,25,3,0,25,3,0,25,15,0,40
36,Ps7che,0,0,0,24,3,0,24,3,0,24,15,0,39
45,Emperor Nun,0,0,0,39,0,0,39,0,0,39,0,0,39
46,Borutha,0,0,0,31,0,0,31,0,0,31,0,0,31
47,kela2,0,0,0,30,0,0,30,0,0,30,0,0,30
8,malphite,0,0,0,9,1,3,9,1,3,9,5,15,29
34,bj00,0,0,0,0,5,0,0,5,0,0,25,0,25
37,Rum runner,0,0,0,6,3,0,6,3,0,6,15,0,21
48,jujuFarm,0,0,0,20,0,0,20,0,0,20,0,0,20
39,ragnaR,0,0,0,13,1,0,13,1,0,13,5,0,18
49,RaggyWood,0,0,0,14,0,0,14,0,0,14,0,0,14
50,Flowki,0,0,0,13,0,0,13,0,0,13,0,0,13
51,RaGFarm,0,0,0,13,0,0,13,0,0,13,0,0,13
14,Orkam,0,0,0,5,0,1,5,0,1,5,0,5,10
52,DagNab It,0,0,0,10,0,0,10,0,0,10,0,0,10
53,Wolvesbane,0,0,0,6,0,0,6,0,0,6,0,0,6
55,bj02,0,0,0,5,0,0,5,0,0,5,0,0,5
54,Pennybags 7,0,0,0,5,0,0,5,0,0,5,0,0,5
56,gibbs,0,0,0,2,0,0,2,0,0,2,0,0,2
57,Lord Pori,0,0,0,1,0,0,1,0,0,1,0,0,1
58,kela3,0,0,0,0,0,0,0,0,0,0,0,0,0
59,Aureserve,0,0,0,0,0,0,0,0,0,0,0,0,0
60,RaFiki,0,0,0,0,0,0,0,0,0,0,0,0,0
61,bjs,0,0,0,0,0,0,0,0,0,0,0,0,0
62,bj03,0,0,0,0,0,0,0,0,0,0,0,0,0
63,kela8,0,0,0,0,0,0,0,0,0,0,0,0,0
64,Ekla 5,0,0,0,0,0,0,0,0,0,0,0,0,0
65,goofball,0,0,0,0,0,0,0,0,0,0,0,0,0
66,jerris Il Q,0,0,0,0,0,0,0,0,0,0,0,0,0
67,Cypherr hof,0,0,0,0,0,0,0,0,0,0,0,0,0
68,Pori Junior,0,0,0,0,0,0,0,0,0,0,0,0,0
69,Orkwam,0,0,0,0,0,0,0,0,0,0,0,0,0
