,Players,Prev3's,Prev4's,Prev5's,Prev6's,Cur3's,Cur4's,Cur5's,Cur6's,Inc3's,Inc4's,Inc5's,Inc6's,3@0point,4@1point,5@5point,6@5point,total
29,xstanfordx,0,0,759,54,0,0,1000,55,0,0,241,1,0,0,1205,5,1210
86,didialfeim,0,0,142,0,0,0,372,0,0,0,230,0,0,0,1150,0,1150
30,brokenjade,0,0,534,47,0,0,738,55,0,0,204,8,0,0,1020,40,1060
32,KING MAXIMUS,0,0,636,44,0,0,747,50,0,0,111,6,0,0,555,30,585
10,StankoSRBLFC,0,1851,755,102,0,1851,842,108,0,0,87,6,0,0,435,30,465
5,MorganKell,0,0,863,111,0,0,932,129,0,0,69,18,0,0,345,90,435
59,Karlosas,0,0,955,5,0,0,1041,6,0,0,86,1,0,0,430,5,435
0,King Rale,0,176,1822,163,0,176,1899,171,0,0,77,8,0,0,385,40,425
60,R1m,0,0,781,5,0,0,864,5,0,0,83,0,0,0,415,0,415
43,Wntrking,0,0,776,22,0,0,855,24,0,0,79,2,0,0,395,10,405
33,Klaus Schnee,0,0,532,50,0,0,613,50,0,0,81,0,0,0,405,0,405
79,Alice Fart,0,0,243,1,0,0,318,1,0,0,75,0,0,0,375,0,375
20,SlackOfDoom,1,38,570,67,1,38,640,72,0,0,70,5,0,0,350,25,375
27,Mikey AlThor,0,2,455,48,0,2,516,57,0,0,61,9,0,0,305,45,350
8,HussyofWhips,0,0,762,105,0,0,817,115,0,0,55,10,0,0,275,50,325
26,Schurke66,0,0,498,52,0,0,555,58,0,0,57,6,0,0,285,30,315
2,EDOX,0,1631,1311,147,0,1631,1365,154,0,0,54,7,0,0,270,35,305
81,komyc,1,2743,905,0,1,2743,966,0,0,0,61,0,0,0,305,0,305
12,Theomore,0,0,588,96,0,0,641,104,0,0,53,8,0,0,265,40,305
77,MariaZoe,0,0,655,1,0,0,715,1,0,0,60,0,0,0,300,0,300
7,ArT,1,0,459,107,1,0,507,117,0,0,48,10,0,0,240,50,290
67,30PAH,0,3372,606,4,0,3372,663,4,0,0,57,0,0,0,285,0,285
54,buddha6366,0,842,853,11,0,842,909,12,0,0,56,1,0,0,280,5,285
90,tiddabeth,0,0,30,0,0,0,87,0,0,0,57,0,0,0,285,0,285
23,ELENA,0,0,664,57,0,0,716,62,0,0,52,5,0,0,260,25,285
21,Jaredsc,0,0,525,63,0,0,574,70,0,0,49,7,0,0,245,35,280
66,EnchantressM,0,0,833,2,0,0,887,4,0,0,54,2,0,0,270,10,280
25,Dasharath,51,4892,694,55,51,4892,745,59,0,0,51,4,0,0,255,20,275
22,koddi,1,6,581,62,1,6,630,68,0,0,49,6,0,0,245,30,275
83,DKH,0,0,575,0,0,0,629,0,0,0,54,0,0,0,270,0,270
9,dingleberry,0,0,505,100,0,0,550,109,0,0,45,9,0,0,225,45,270
11,LalaTheWhite,0,0,486,99,0,0,531,108,0,0,45,9,0,0,225,45,270
68,Brooster,0,0,148,4,0,0,201,4,0,0,53,0,0,0,265,0,265
39,SEARCHER,47,1525,1152,30,47,1525,1205,30,0,0,53,0,0,0,265,0,265
34,xLestat,0,0,534,45,0,0,584,48,0,0,50,3,0,0,250,15,265
31,SashaM,0,799,1514,51,0,799,1566,51,0,0,52,0,0,0,260,0,260
6,JohnHawkwood,1,2018,1422,111,1,2018,1468,117,0,0,46,6,0,0,230,30,260
14,Duke Martin,0,2095,862,74,0,2095,908,80,0,0,46,6,0,0,230,30,260
61,ZENZEY,0,0,552,5,0,0,602,5,0,0,50,0,0,0,250,0,250
80,FaFnir,0,0,255,1,0,0,304,1,0,0,49,0,0,0,245,0,245
48,Lord Anibal,0,11,547,14,0,11,592,16,0,0,45,2,0,0,225,10,235
64,MORTI,0,196,1246,4,0,196,1292,4,0,0,46,0,0,0,230,0,230
73,Eragon67,0,1,263,1,0,1,308,2,0,0,45,1,0,0,225,5,230
16,DarkLord Dan,0,0,567,70,0,0,607,76,0,0,40,6,0,0,200,30,230
62,Sir Mogque,3,0,520,0,3,0,560,5,0,0,40,5,0,0,200,25,225
85,UhtredR,0,2,445,0,0,2,490,0,0,0,45,0,0,0,225,0,225
63,Csapek,2,0,520,0,2,0,560,5,0,0,40,5,0,0,200,25,225
40,Gunnarr716,0,0,569,25,0,0,610,29,0,0,41,4,0,0,205,20,225
82,Foxxy,229,3265,745,0,229,3265,790,0,0,0,45,0,0,0,225,0,225
65,SFuRak,212,5834,1097,4,212,5834,1142,4,0,0,45,0,0,0,225,0,225
36,17Palad1nOnm,0,0,652,34,0,0,689,41,0,0,37,7,0,0,185,35,220
76,AHEGON,0,0,46,0,0,0,88,2,0,0,42,2,0,0,210,10,220
18,VASE,0,1,494,69,0,1,532,75,0,0,38,6,0,0,190,30,220
13,BuharaShroom,0,12,578,92,0,12,615,98,0,0,37,6,0,0,185,30,215
57,malimiki,30,3449,554,9,30,3449,597,9,0,0,43,0,0,0,215,0,215
58,docente,2,1189,604,7,2,1189,647,7,0,0,43,0,0,0,215,0,215
41,GEERT,3,868,882,24,3,868,923,26,0,0,41,2,0,0,205,10,215
69,Thos,0,2,356,2,0,2,398,3,0,0,42,1,0,0,210,5,215
35,MaceWindujr,0,1276,1384,37,0,1276,1421,42,0,0,37,5,0,0,185,25,210
45,TripleP,0,2,446,13,0,2,483,18,0,0,37,5,0,0,185,25,210
28,Dark Heartt,0,0,255,50,0,0,291,56,0,0,36,6,0,0,180,30,210
88,RoGue Prince,0,0,140,0,0,0,182,0,0,0,42,0,0,0,210,0,210
53,Boss X,0,32,333,11,0,35,372,13,0,3,39,2,0,3,195,10,208
47,vampirewolfG,0,1,490,17,0,1,531,17,0,0,41,0,0,0,205,0,205
42,Maverick,0,0,194,23,0,0,231,26,0,0,37,3,0,0,185,15,200
71,L Mariscal,0,4,509,2,0,4,549,2,0,0,40,0,0,0,200,0,200
84,arcane,0,0,543,0,0,0,583,0,0,0,40,0,0,0,200,0,200
74,freeze3,0,0,248,2,0,0,288,2,0,0,40,0,0,0,200,0,200
24,knyaz Elemag,0,5,468,56,0,5,502,62,0,0,34,6,0,0,170,30,200
51,Blackrainbow,0,1,507,11,0,1,545,13,0,0,38,2,0,0,190,10,200
49,IronPrice,0,0,229,12,0,0,264,16,0,0,35,4,0,0,175,20,195
91,Mindaugyno,0,0,15,0,0,0,54,0,0,0,39,0,0,0,195,0,195
50,RMonn,0,0,229,12,0,0,265,15,0,0,36,3,0,0,180,15,195
37,12M,0,1421,616,38,0,1421,652,41,0,0,36,3,0,0,180,15,195
46,Draakir,0,0,228,13,0,0,262,18,0,0,34,5,0,0,170,25,195
87,GooSE,0,0,150,0,0,0,189,0,0,0,39,0,0,0,195,0,195
15,mirjan,0,0,337,70,0,5,367,78,0,5,30,8,0,5,150,40,195
75,pembaa,0,0,78,1,0,0,115,2,0,0,37,1,0,0,185,5,190
72,JuicyFuit,0,1,301,2,0,1,339,2,0,0,38,0,0,0,190,0,190
92,Daessa,0,0,0,0,0,0,37,0,0,0,37,0,0,0,185,0,185
3,pikabooooo,0,954,465,125,0,954,493,133,0,0,28,8,0,0,140,40,180
56,Freyyr,0,0,182,9,0,0,215,10,0,0,33,1,0,0,165,5,170
55,FreyaMaiden,0,0,235,9,0,0,266,12,0,0,31,3,0,0,155,15,170
17,Kingsy D,190,3456,926,69,190,3457,953,75,0,1,27,6,0,1,135,30,166
44,Odr,0,0,158,18,0,1,187,20,0,1,29,2,0,1,145,10,156
70,Omnos,0,0,61,2,0,0,91,3,0,0,30,1,0,0,150,5,155
89,Knakker,0,0,61,0,0,0,89,0,0,0,28,0,0,0,140,0,140
52,DIKEFALOS21,0,0,450,11,0,0,475,13,0,0,25,2,0,0,125,10,135
19,Wareblade,0,0,437,67,0,0,454,74,0,0,17,7,0,0,85,35,120
4,Guts Black,1348,2851,1246,125,1348,2851,1265,130,0,0,19,5,0,0,95,25,120
38,DaisY,0,0,513,30,0,0,533,32,0,0,20,2,0,0,100,10,110
1,Lord Gitter,0,1251,853,151,0,1251,861,165,0,0,8,14,0,0,40,70,110
78,DownBubble,0,2,431,1,0,2,451,1,0,0,20,0,0,0,100,0,100
93,Sauer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
