Player,Curr2,Curr3,Curr4,Curr5,Curr_Score,Pre2,Pre3,Pre4,Pre5,Prev_Score,Inc_Score
Dazzerrie,0,1,12,125,387.25,0,1,12,113,351.25,36.0
Brokenjades,2,74,608,5,641.7,2,74,575,5,608.7,33.0
CHOCO1,0,54,14,0,27.5,0,0,0,0,0,27.5
ThaNOs,0,3,132,47,273.75,0,3,115,44,247.75,26.0
lilth,0,5,217,3,227.25,0,5,193,3,203.25,24.0
Lil Doom,0,0,191,16,239.0,0,0,171,15,216.0,23.0
NeGan,0,0,234,0,234.0,0,0,214,0,214.0,20.0
TortureAngel,0,63,151,0,166.75,0,54,134,0,147.5,19.25
tank007,0,132,110,0,143.0,0,132,91,0,124.0,19.0
LadyLu,1,199,252,0,301.85,1,196,234,0,283.1,18.75
Loos,0,37,170,1,182.25,0,34,152,1,163.5,18.75
Snowbody,0,0,187,0,187.0,0,0,169,0,169.0,18.0
Orkam,0,35,146,0,154.75,0,34,129,0,137.5,17.25
Anadolu EFES,0,0,200,7,221.0,0,0,183,7,204.0,17.0
Lord Tudor,0,9,110,5,127.25,0,9,94,5,111.25,16.0
CullObsidian,0,2,91,0,91.5,0,2,75,0,75.5,16.0
LadyRooRoo,2,228,215,1,275.2,2,226,200,1,259.7,15.5
alek,0,5,173,4,186.25,0,4,158,4,171.0,15.25
malphite,0,1,149,0,149.25,0,1,134,0,134.25,15.0
ProximaMdnit,0,3,89,0,89.75,0,3,74,0,74.75,15.0
Laxuss Redwyne,0,3,75,4,87.75,0,3,67,2,73.75,14.0
Lady Lioness,0,52,80,0,93.0,0,52,66,0,79.0,14.0
Lord Pori,0,7,22,31,116.75,0,7,20,27,102.75,14.0
LadyMayMay,315,895,553,3,817.25,315,893,540,3,803.75,13.5
Lil Stinker,0,0,144,0,144.0,0,0,131,0,131.0,13.0
Wolffsson,0,15,74,2,83.75,0,14,65,1,71.5,12.25
DagNab It,0,0,116,0,116.0,0,0,104,0,104.0,12.0
Pennybags 7,0,1,100,0,100.25,0,1,88,0,88.25,12.0
8track,8,641,153,0,314.05,8,625,145,0,302.05,12.0
Yum Yum 1,0,1,113,0,113.25,0,1,101,0,101.25,12.0
RaGnar,0,1,86,0,86.25,0,1,74,0,74.25,12.0
YumYum,0,1,126,0,126.25,0,1,115,0,115.25,11.0
Perun,0,3,113,0,113.75,0,3,102,0,102.75,11.0
Loos shadow,290,599,326,0,504.75,290,597,316,0,494.25,10.5
FLuffyBunny,0,0,114,0,114.0,0,0,104,0,104.0,10.0
ZorO,62,787,89,0,291.95,61,779,82,0,282.85,9.1
Wuesti,0,0,92,0,92.0,0,0,83,0,83.0,9.0
Lord Greg,1,60,42,0,57.1,1,55,35,0,48.85,8.25
shiny,0,281,31,0,101.25,0,249,31,0,93.25,8.0
CorVusGlaive,0,0,65,0,65.0,0,0,57,0,57.0,8.0
gibbs,0,152,5,0,43.0,0,129,5,0,37.25,5.75
Korioko,0,621,0,0,155.25,0,600,0,0,150.0,5.25
Lil Lioness,826,907,3,0,312.35,826,886,3,0,307.1,5.25
Ares Inferno,67,205,65,0,122.95,66,205,60,0,117.85,5.1
Little Tudor,515,744,24,0,261.5,515,725,24,0,256.75,4.75
Frickey,0,0,29,0,29.0,0,0,25,0,25.0,4.0
Rum runner,93,383,125,0,230.05,93,380,122,0,226.3,3.75
Nagala,301,274,87,0,185.6,301,273,84,0,182.35,3.25
Chrispep,86,14,0,0,12.1,66,10,0,0,9.1,3.0
MinaOfDoom,0,0,96,1,99.0,0,0,93,1,96.0,3.0
Chaos2018,0,10,41,0,43.5,0,10,38,0,40.5,3.0
Jarvs Stark,0,0,3,0,3.0,0,0,0,0,0,3.0
tiks n tease,1,29,14,0,21.35,0,26,12,0,18.5,2.85
PPaTT,0,134,0,0,33.5,0,123,0,0,30.75,2.75
kela,606,282,89,0,220.1,606,280,87,0,217.6,2.5
Orkwam,85,42,2,0,21.0,82,35,2,0,18.95,2.05
Oma2015,0,0,51,0,51.0,0,0,49,0,49.0,2.0
Tuatahi,0,38,18,0,27.5,0,30,18,0,25.5,2.0
brokenjade00,1,15,124,0,127.85,1,15,122,0,125.85,2.0
Lord Casco,0,233,19,0,77.25,0,227,19,0,75.75,1.5
Pori Junior,40,108,38,0,69.0,40,102,38,0,67.5,1.5
tank008,380,72,0,0,56.0,366,72,0,0,54.6,1.4
brokenjade20,47,1,0,0,4.95,33,1,0,0,3.55,1.4
APOLO1,142,12,0,0,17.2,134,11,0,0,16.15,1.05
brokenjade01,70,135,5,0,45.75,70,131,5,0,44.75,1.0
Efah,352,300,139,1,252.2,352,300,138,1,251.2,1.0
brokenjade03,34,47,0,0,15.15,34,43,0,0,14.15,1.0
Wolvesbane,1759,121,1,0,207.15,1759,118,1,0,206.4,0.75
kela2,3,4,0,0,1.3,2,2,0,0,0.7,0.6
sonar,37,20,0,0,8.7,35,19,0,0,8.25,0.45
Letel,554,0,0,0,55.4,550,0,0,0,55.0,0.4
LilLetel,126,0,0,0,12.6,123,0,0,0,12.3,0.3
kela3,10,0,0,0,1.0,7,0,0,0,0.7,0.3
tank009,11,0,0,0,1.1,9,0,0,0,0.9,0.2
Ze Joker,0,0,18,0,18.0,0,0,18,0,18.0,0.0
Wolffssonson,288,107,2,0,57.55,288,107,2,0,57.55,0.0
DonKanallje,4,48,78,6,108.4,4,48,78,6,108.4,0.0
ReyNema,0,16,93,5,112.0,0,16,93,5,112.0,0.0
Durrandon800,1,110,2,0,29.6,1,110,2,0,29.6,0.0
Borutha,2,0,0,0,0.2,2,0,0,0,0.2,0.0
tank010,0,0,0,0,0.0,0,0,0,0,0.0,0.0
ReyN,218,472,275,0,414.8,218,472,275,0,414.8,0.0
Kpolice,0,0,0,0,0.0,0,0,0,0,0.0,0.0
Drunkard,1,3,0,0,0.85,1,3,0,0,0.85,0.0
Total,,,,,11410.35,,,,,10696.40,713.95
