,Players,Prev4's,Prev5's,Prev6's,Cur4's,Cur5's,Cur6's,Inc4's,Inc5's,Inc6's,4@1point,5@5point,6@5point,total
0,Brokenjades,0,40,3,0,59,8,0,19,5,0,95,25,120
20,FLuffyBunny,0,15,0,0,29,0,0,14,0,0,70,0,70
3,tank007,0,0,0,0,4,3,0,4,3,0,20,15,35
10,Sturmcrow,306,71,0,316,73,1,10,2,1,10,10,5,25
21,ReyN,188,15,0,196,17,0,8,2,0,8,10,0,18
28,Lykanos,29,5,0,41,6,0,12,1,0,12,5,0,17
27,Nyctimus,29,5,0,41,6,0,12,1,0,12,5,0,17
35,bj00,0,0,0,0,3,0,0,3,0,0,15,0,15
5,Lil Doom,0,9,0,0,10,2,0,1,2,0,5,10,15
17,Wolffsson,819,79,0,833,79,0,14,0,0,14,0,0,14
15,ReyNema,1228,260,0,1230,262,0,2,2,0,2,10,0,12
33,bj20,7,2,0,13,3,0,6,1,0,6,5,0,11
51,shiny,7,0,0,17,0,0,10,0,0,10,0,0,10
53,oma2015,0,0,0,10,0,0,10,0,0,10,0,0,10
4,Lady Lioness,0,0,1,0,0,3,0,0,2,0,0,10,10
9,LadyMayMay,145,109,1,148,110,1,3,1,0,3,5,0,8
30,LadyLu,4,5,0,7,6,0,3,1,0,3,5,0,8
26,LadyRooRoo,3,6,0,6,7,0,3,1,0,3,5,0,8
2,ZorO,811,219,4,814,220,4,3,1,0,3,5,0,8
13,Chaos2018,5,0,0,8,0,1,3,0,1,3,0,5,8
52,bj02,4,0,0,11,0,0,7,0,0,7,0,0,7
24,bj03,1,7,0,2,8,0,1,1,0,1,5,0,6
40,ygritte,0,0,0,0,1,0,0,1,0,0,5,0,5
25,sonar,28,6,0,28,7,0,0,1,0,0,5,0,5
44,HAWKEYE,0,0,0,0,1,0,0,1,0,0,5,0,5
42,lil tanky,0,0,0,0,1,0,0,1,0,0,5,0,5
41,not tanky,0,0,0,0,1,0,0,1,0,0,5,0,5
47,Queen Jerri,101,0,0,104,0,0,3,0,0,3,0,0,3
18,Laxuss Redwyne,289,55,0,291,55,0,2,0,0,2,0,0,2
46,Frickey,124,0,0,126,0,0,2,0,0,2,0,0,2
14,Loos,5,0,1,6,0,1,1,0,0,1,0,0,1
7,malphite,2,0,2,3,0,2,1,0,0,1,0,0,1
68,LeGOLaS,0,0,0,0,0,0,0,0,0,0,0,0,0
65,jerris Il Q,0,0,0,0,0,0,0,0,0,0,0,0,0
55,Loos shadow,4,0,0,4,0,0,0,0,0,0,0,0,0
54,Wolvesbane,6,0,0,6,0,0,0,0,0,0,0,0,0
58,RaFiki,0,0,0,0,0,0,0,0,0,0,0,0,0
56,bjs,1,0,0,1,0,0,0,0,0,0,0,0,0
57,kela3,0,0,0,0,0,0,0,0,0,0,0,0,0
64,goofball,0,0,0,0,0,0,0,0,0,0,0,0,0
67,brokenjade04,0,0,0,0,0,0,0,0,0,0,0,0,0
59,JuGGernaut 2,0,0,0,0,0,0,0,0,0,0,0,0,0
60,JuGGernaut,0,0,0,0,0,0,0,0,0,0,0,0,0
61,Aureserve,0,0,0,0,0,0,0,0,0,0,0,0,0
50,Wolffssonson,47,0,0,47,0,0,0,0,0,0,0,0,0
66,gibbs,0,0,0,0,0,0,0,0,0,0,0,0,0
62,KLs police,0,0,0,0,0,0,0,0,0,0,0,0,0
63,goofballs,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Orkam,1,0,2,1,0,2,0,0,0,0,0,0,0
39,kela,4,1,0,4,1,0,0,0,0,0,0,0,0
49,Borutha,52,0,0,52,0,0,0,0,0,0,0,0,0
48,kela2,62,0,0,62,0,0,0,0,0,0,0,0,0
11,CHOCO1,296,23,1,296,23,1,0,0,0,0,0,0,0
12,YumYum,0,2,1,0,2,1,0,0,0,0,0,0,0
16,Lord Tudor,800,152,0,800,152,0,0,0,0,0,0,0,0
19,bj01,36,45,0,36,45,0,0,0,0,0,0,0,0
6,RaGnar,0,1,2,0,1,2,0,0,0,0,0,0,0
22,Lord Greg,361,12,0,361,12,0,0,0,0,0,0,0,0
23,CHOCO TWIST,295,9,0,295,9,0,0,0,0,0,0,0,0
29,Rum runner,26,6,0,26,6,0,0,0,0,0,0,0,0
31,Little Tudor,569,5,0,569,5,0,0,0,0,0,0,0,0
32,APOLO1,29,5,0,29,5,0,0,0,0,0,0,0,0
34,Yummers,1,3,0,1,3,0,0,0,0,0,0,0,0
1,alek,2,11,8,2,11,8,0,0,0,0,0,0,0
36,Drunkard,66,2,0,66,2,0,0,0,0,0,0,0,0
37,DagNab It,0,2,0,0,2,0,0,0,0,0,0,0,0
38,Lil Stinker,0,2,0,0,2,0,0,0,0,0,0,0,0
43,Pennybags 7,0,1,0,0,1,0,0,0,0,0,0,0,0
45,RamBO,0,1,0,0,1,0,0,0,0,0,0,0,0
69,LagerTha,0,0,0,0,0,0,0,0,0,0,0,0,0
