,Players,Prev3's,Prev4's,Prev5's,Prev6's,Cur3's,Cur4's,Cur5's,Cur6's,Inc3's,Inc4's,Inc5's,Inc6's,3@0point,4@1point,5@5point,6@5point,total
63,SFuRak,0,0,0,0,212,5834,1097,4,212,5834,1097,4,0,5834,5485,20,11339
0,King Rale,0,0,0,0,0,176,1822,163,0,176,1822,163,0,176,9110,815,10101
3,Guts Black,0,0,0,0,1348,2851,1246,125,1348,2851,1246,125,0,2851,6230,625,9706
5,JohnHawkwood,0,0,0,0,1,2018,1422,111,1,2018,1422,111,0,2018,7110,555,9683
2,EDOX,0,0,0,0,0,1631,1311,147,0,1631,1311,147,0,1631,6555,735,8921
25,Dasharath,0,0,0,0,51,4892,694,55,51,4892,694,55,0,4892,3470,275,8637
28,SashaM,0,0,0,0,0,799,1514,51,0,799,1514,51,0,799,7570,255,8624
17,Kingsy D,0,0,0,0,190,3456,926,69,190,3456,926,69,0,3456,4630,345,8431
36,MaceWindujr,0,0,0,0,0,1276,1384,37,0,1276,1384,37,0,1276,6920,185,8381
38,SEARCHER,0,0,0,0,47,1525,1152,30,47,1525,1152,30,0,1525,5760,150,7435
78,komyc,0,0,0,0,1,2743,905,0,1,2743,905,0,0,2743,4525,0,7268
79,Foxxy,0,0,0,0,229,3265,745,0,229,3265,745,0,0,3265,3725,0,6990
14,Duke Martin,0,0,0,0,0,2095,862,74,0,2095,862,74,0,2095,4310,370,6775
62,MORTI,0,0,0,0,0,196,1246,4,0,196,1246,4,0,196,6230,20,6446
64,30PAH,0,0,0,0,0,3372,606,4,0,3372,606,4,0,3372,3030,20,6422
1,Lord Gitter,0,0,0,0,0,1251,853,151,0,1251,853,151,0,1251,4265,755,6271
55,malimiki,0,0,0,0,30,3449,554,9,30,3449,554,9,0,3449,2770,45,6264
9,StankoSRBLFC,0,0,0,0,0,1851,755,102,0,1851,755,102,0,1851,3775,510,6136
41,GEERT,0,0,0,0,3,868,882,24,3,868,882,24,0,868,4410,120,5398
51,buddha6366,0,0,0,0,0,842,853,11,0,842,853,11,0,842,4265,55,5162
6,MorganKell,0,0,0,0,0,0,863,111,0,0,863,111,0,0,4315,555,4870
59,Karlosas,0,0,0,0,0,0,955,5,0,0,955,5,0,0,4775,25,4800
35,12M,0,0,0,0,0,1421,616,38,0,1421,616,38,0,1421,3080,190,4691
8,HussyofWhips,0,0,0,0,0,0,762,105,0,0,762,105,0,0,3810,525,4335
58,docente,0,0,0,0,2,1189,604,7,2,1189,604,7,0,1189,3020,35,4244
66,EnchantressM,0,0,0,0,0,0,833,2,0,0,833,2,0,0,4165,10,4175
26,xstanfordx,0,0,0,0,0,0,759,54,0,0,759,54,0,0,3795,270,4065
43,Wntrking,0,0,0,0,0,0,776,22,0,0,776,22,0,0,3880,110,3990
60,R1m,0,0,0,0,0,0,781,5,0,0,781,5,0,0,3905,25,3930
4,pikabooooo,0,0,0,0,0,954,465,125,0,954,465,125,0,954,2325,625,3904
23,ELENA,0,0,0,0,0,0,664,57,0,0,664,57,0,0,3320,285,3605
37,17pPalad1nOnm,0,0,0,0,0,0,652,34,0,0,652,34,0,0,3260,170,3430
12,Theomore,0,0,0,0,0,0,588,96,0,0,588,96,0,0,2940,480,3420
34,KING MAXIMUS,0,0,0,0,0,0,636,44,0,0,636,44,0,0,3180,220,3400
13,BuharaShroom,0,0,0,0,0,12,578,92,0,12,578,92,0,12,2890,460,3362
72,MariaZoe,0,0,0,0,0,0,655,1,0,0,655,1,0,0,3275,5,3280
19,SlackOfDoom,0,0,0,0,1,38,570,67,1,38,570,67,0,38,2850,335,3223
22,koddi,0,0,0,0,1,6,581,62,1,6,581,62,0,6,2905,310,3221
15,DarkLord Dan,0,0,0,0,0,0,567,70,0,0,567,70,0,0,2835,350,3185
10,dingleberry,0,0,0,0,0,0,505,100,0,0,505,100,0,0,2525,500,3025
40,Gunnarr716,0,0,0,0,0,0,569,25,0,0,569,25,0,0,2845,125,2970
21,jaredsc,0,0,0,0,0,0,525,63,0,0,525,63,0,0,2625,315,2940
11,LalaTheWhite,0,0,0,0,0,0,486,99,0,0,486,99,0,0,2430,495,2925
29,Klaus Schnee,0,0,0,0,0,0,532,50,0,0,532,50,0,0,2660,250,2910
32,brokenjade,0,0,0,0,0,0,534,47,0,0,534,47,0,0,2670,235,2905
33,xLestat,0,0,0,0,0,0,534,45,0,0,534,45,0,0,2670,225,2895
80,DKH,0,0,0,0,0,0,575,0,0,0,575,0,0,0,2875,0,2875
7,ArT,0,0,0,0,1,0,459,107,1,0,459,107,0,0,2295,535,2830
46,Lord Anibal,0,0,0,0,0,11,547,14,0,11,547,14,0,11,2735,70,2816
18,VASE,0,0,0,0,0,1,494,69,0,1,494,69,0,1,2470,345,2816
61,ZENZEY,0,0,0,0,0,0,552,5,0,0,552,5,0,0,2760,25,2785
27,Schurke66,0,0,0,0,0,0,498,52,0,0,498,52,0,0,2490,260,2750
39,DaisY,0,0,0,0,0,0,513,30,0,0,513,30,0,0,2565,150,2715
81,arcane,0,0,0,0,0,0,543,0,0,0,543,0,0,0,2715,0,2715
24,knyaz Elemag,0,0,0,0,0,5,468,56,0,5,468,56,0,5,2340,280,2625
83,Csapek,0,0,0,0,2,0,520,0,2,0,520,0,0,0,2600,0,2600
82,sir moque,0,0,0,0,3,0,520,0,3,0,520,0,0,0,2600,0,2600
52,Blackrainbow,0,0,0,0,0,1,507,11,0,1,507,11,0,1,2535,55,2591
