Player,Curr2,Curr3,Curr4,Curr5,Curr_Score,Pre2,Pre3,Pre4,Pre5,Prev_Score,Inc_Score
Lil Lioness,827,1284,80,0,483.7,827,1283,19,0,422.45,61.25
Chaos2018,1,10,218,2,226.6,0,10,157,2,165.5,61.1
brokenjade00,0,2,199,5,214.5,0,2,149,2,155.5,59.0
Lord Pori,0,9,100,119,459.25,0,9,74,109,403.25,56.0
Perun,0,0,181,0,181.0,0,0,131,0,131.0,50.0
Lord Greg,2,50,107,3,128.7,1,35,64,2,78.85,49.85
Laxuss Redwyne,6,24,86,24,164.6,2,21,65,15,115.45,49.15
KeVIN,8,202,50,0,101.3,4,93,31,0,54.65,46.65
kela,1,32,103,0,111.1,1,22,59,0,64.6,46.5
CHOCO1,1,157,45,4,96.35,0,103,19,2,50.75,45.6
RaGnar,0,0,115,0,115.0,0,0,73,0,73.0,42.0
King BoB,231,69,18,0,58.35,165,9,1,0,19.75,38.6
malphite,0,17,123,15,172.25,0,6,100,11,134.5,37.75
Wolffsson,0,22,235,21,303.5,0,22,205,21,273.5,30.0
CHOCO TWIST,0,187,76,1,125.75,0,165,53,1,97.25,28.5
Tuatahi,1,67,131,7,168.85,1,59,108,6,140.85,28.0
Orkwam,1,226,0,0,56.6,0,120,0,0,30.0,26.6
PPaTT,0,516,0,0,129.0,0,418,0,0,104.5,24.5
Queen Jerri,0,129,1,0,33.25,0,45,1,0,12.25,21.0
Nagala,323,303,128,3,245.05,318,296,123,0,228.8,16.25
tank008,0,61,1,0,16.25,0,16,0,0,4.0,12.25
Rum runner,0,3,33,0,33.75,0,3,21,0,21.75,12.0
tank009,35,95,3,0,30.25,35,59,0,0,18.25,12.0
tiks n tease,8,142,32,0,68.3,4,108,30,0,57.4,10.9
Pori Junior,44,227,54,0,115.15,42,209,48,0,104.45,10.7
Ares Inferno,82,244,102,0,171.2,78,234,96,0,162.3,8.9
Frickey,2,6,77,0,78.7,2,3,69,0,69.95,8.75
gibbs,0,94,13,0,36.5,0,84,7,0,28.0,8.5
Efah,364,317,172,3,296.65,361,313,165,3,288.35,8.3
kela2,36,20,0,0,8.6,19,10,0,0,4.4,4.2
kela3,59,5,0,0,7.15,30,1,0,0,3.25,3.9
sonar,50,64,0,0,21.0,46,52,0,0,17.6,3.4
APOLO1,312,25,0,0,37.45,289,22,0,0,34.4,3.05
Wolvesbane,1760,191,2,0,225.75,1760,179,2,0,222.75,3.0
tank010,2,5,0,0,1.45,2,0,0,0,0.2,1.25
Wolffssonson,288,151,47,0,113.55,288,151,47,0,113.55,0.0
Letel,586,0,0,0,58.6,586,0,0,0,58.6,0.0
Borutha,5,1,0,0,0.75,5,1,0,0,0.75,0.0
LilLetel,138,0,0,0,13.8,138,0,0,0,13.8,0.0
Drunkard,6,5,0,0,1.85,6,5,0,0,1.85,0.0
Total,,,,,24449.35,,,,,15889.35,8560.00
