Player,Curr2,Curr3,Curr4,Curr5,Curr_Score,Pre2,Pre3,Pre4,Pre5,Prev_Score,Inc_Score
TweetOrs,0,0,313,213,952.0,0,0,307,23,376.0,576.0
Brokenjades,0,1,123,271,936.25,0,0,97,100,397.0,539.25
Dazzerrie,0,2,16,324,988.5,0,0,7,174,529.0,459.5
tank007,0,0,279,101,582.0,0,0,158,28,242.0,340.0
lilth,0,9,517,63,708.25,0,4,298,39,416.0,292.25
alek,1,11,65,175,592.85,1,3,30,95,315.85,277.0
ThaNOs,0,3,300,102,606.75,0,3,170,57,341.75,265.0
Jarvis Stark,0,20,369,75,599.0,0,20,283,16,336.0,263.0
Lil Doom,0,0,522,1,525.0,0,0,279,1,282.0,243.0
Loos,10,89,452,6,493.25,5,55,253,0,267.25,226.0
Loos shadow,6,152,374,8,436.6,3,98,175,7,220.8,215.8
TortureAngel,1,148,389,2,432.1,1,111,198,1,228.85,203.25
8track,10,942,736,1,975.5,9,898,562,0,787.4,188.1
LadyMayMay,2,60,75,129,477.2,1,32,38,82,292.1,185.1
FLuffyBunny,0,31,723,0,730.75,0,31,546,0,553.75,177.0
LadyLu,10,37,55,134,467.25,7,20,25,87,291.7,175.55
YumYum,1,1,384,0,384.35,1,0,211,0,211.1,173.25
DagNab It,0,4,361,0,362.0,0,0,189,0,189.0,173.0
Yummers,0,0,376,0,376.0,0,0,204,0,204.0,172.0
Pennybags 7,1,0,321,5,336.1,1,0,168,0,168.1,168.0
Orkam,0,29,348,0,355.25,0,29,181,0,188.25,167.0
Lil Stinker,1,1,350,0,350.35,0,0,188,0,188.0,162.35
Snowbody,0,0,876,0,876.0,0,0,716,0,716.0,160.0
ReyNema,9,96,455,63,668.9,8,78,337,51,510.3,158.6
LadyRooRoo,10,50,121,81,377.5,1,32,69,53,236.1,141.4
DaRyL DiXoN,0,6,286,0,287.5,0,4,154,0,155.0,132.5
Lord Tudor,4,70,400,64,609.9,4,48,338,45,485.4,124.5
StuART,0,8,238,0,240.0,0,7,119,0,120.75,119.25
ZorO,68,940,321,42,688.8,63,911,243,33,576.05,112.75
LagerTha,0,0,166,0,166.0,0,0,56,0,56.0,110.0
HAWKEYE,0,4,304,0,305.0,0,4,196,0,197.0,108.0
Lady Lioness,0,73,421,1,442.25,0,73,318,1,339.25,103.0
ReyN,222,555,572,0,732.95,222,541,474,0,631.45,101.5
shiny,0,711,24,0,201.75,0,388,12,0,109.0,92.75
Flowki,0,0,101,0,101.0,0,0,13,0,13.0,88.0
NorBert,1,10,139,0,141.6,0,3,56,0,56.75,84.85
RaGFarm,0,1,96,0,96.25,0,1,16,0,16.25,80.0
RaggyWood,0,0,91,0,91.0,0,0,12,0,12.0,79.0
Little Tudor,524,1048,153,0,467.4,524,1007,97,0,401.15,66.25
Oma2015,1,0,247,3,256.1,0,0,185,2,191.0,65.1
brokenjade03,0,243,60,0,120.75,0,148,22,0,59.0,61.75
