,Players,Prev4's,Prev5's,Prev6's,Cur4's,Cur5's,Cur6's,Inc4's,Inc5's,Inc6's,4@1point,5@5point,6@5point,total
0,Brokenjades,297,1593,112,297,1606,114,0,13,2,0,65,10,75
30,il tanky,0,0,0,0,7,0,0,7,0,0,35,0,35
1,alek,38,138,110,40,140,111,2,2,1,2,10,5,17
21,LadyRooRoo,121,81,0,124,83,0,3,2,0,3,10,0,13
2,Lady Lioness,108,50,25,108,52,25,0,2,0,0,10,0,10
4,tank008,131,100,11,131,102,11,0,2,0,0,10,0,10
31,not tanky,0,5,0,0,7,0,0,2,0,0,10,0,10
14,kela,62,28,1,65,29,1,3,1,0,3,5,0,8
46,Lil Lioness,9,0,0,12,1,0,3,1,0,3,5,0,8
12,LadyMayMay,125,91,1,128,92,1,3,1,0,3,5,0,8
9,ZorO,790,199,3,797,199,3,7,0,0,7,0,0,7
16,ReyNema,1198,247,0,1200,248,0,2,1,0,2,5,0,7
54,bj02,62,0,0,68,0,0,6,0,0,6,0,0,6
39,bj03,0,3,0,0,4,0,0,1,0,0,5,0,5
8,malphite,38,10,4,38,11,4,0,1,0,0,5,0,5
13,LadyLu,143,88,1,147,88,1,4,0,0,4,0,0,4
22,Wolffsson,763,77,0,767,77,0,4,0,0,4,0,0,4
41,DagNab It,2,3,0,6,3,0,4,0,0,4,0,0,4
23,Sturmcrow,245,63,0,249,63,0,4,0,0,4,0,0,4
5,Loos shadow,1626,127,9,1630,127,9,4,0,0,4,0,0,4
6,Loos,1718,130,7,1721,130,7,3,0,0,3,0,0,3
43,Yummers,4,2,0,7,2,0,3,0,0,3,0,0,3
24,Laxuss Redwyne,274,55,0,277,55,0,3,0,0,3,0,0,3
61,YumYum,5,0,0,8,0,0,3,0,0,3,0,0,3
29,ReyN,155,9,0,158,9,0,3,0,0,3,0,0,3
57,kela2,43,0,0,45,0,0,2,0,0,2,0,0,2
35,Chaos2018,499,5,0,500,5,0,1,0,0,1,0,0,1
10,Oma2015,589,12,2,590,12,2,1,0,0,1,0,0,1
63,HAWKEYE,0,0,0,1,0,0,1,0,0,1,0,0,1
62,Wolvesbane,6,0,0,6,0,0,0,0,0,0,0,0,0
60,RaGFarm,13,0,0,13,0,0,0,0,0,0,0,0,0
20,FLuffyBunny,1549,150,0,1549,150,0,0,0,0,0,0,0,0
59,RaggyWood,14,0,0,14,0,0,0,0,0,0,0,0,0
56,Wolffssonson,47,0,0,47,0,0,0,0,0,0,0,0,0
55,Borutha,52,0,0,52,0,0,0,0,0,0,0,0,0
3,RaGnar,1,5,12,1,5,12,0,0,0,0,0,0,0
58,Flowki,20,0,0,20,0,0,0,0,0,0,0,0,0
65,kela3,0,0,0,0,0,0,0,0,0,0,0,0,0
64,Aureserve,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Queen Jerri,94,0,0,94,0,0,0,0,0,0,0,0,0
66,RaFiki,0,0,0,0,0,0,0,0,0,0,0,0,0
67,bjs,0,0,0,0,0,0,0,0,0,0,0,0,0
68,JuGGernaut 2,0,0,0,0,0,0,0,0,0,0,0,0,0
69,JuGGernaut,0,0,0,0,0,0,0,0,0,0,0,0,0
70,goofballs,0,0,0,0,0,0,0,0,0,0,0,0,0
71,jerris Il Q,0,0,0,0,0,0,0,0,0,0,0,0,0
72,Cypherr hof,0,0,0,0,0,0,0,0,0,0,0,0,0
73,KLs police,0,0,0,0,0,0,0,0,0,0,0,0,0
74,brokenjade04,0,0,0,0,0,0,0,0,0,0,0,0,0
75,Pennybags 7,0,0,0,0,0,0,0,0,0,0,0,0,0
76,LagerTha,0,0,0,0,0,0,0,0,0,0,0,0,0
53,jujuFarm,68,0,0,68,0,0,0,0,0,0,0,0,0
49,RamBO,0,1,0,0,1,0,0,0,0,0,0,0,0
51,Frickey,123,0,0,123,0,0,0,0,0,0,0,0,0
34,Little Tudor,569,5,0,569,5,0,0,0,0,0,0,0,0
19,Lord Tudor,800,152,0,800,152,0,0,0,0,0,0,0,0
18,TortureAngel,230,156,0,230,156,0,0,0,0,0,0,0,0
25,bj01,36,44,0,36,44,0,0,0,0,0,0,0,0
26,bj20,13,16,0,13,16,0,0,0,0,0,0,0,0
27,Lord Greg,348,12,0,348,12,0,0,0,0,0,0,0,0
28,CHOCO TWIST,288,9,0,288,9,0,0,0,0,0,0,0,0
17,8track,2246,198,0,2246,198,0,0,0,0,0,0,0,0
7,LILth,192,182,6,192,182,6,0,0,0,0,0,0,0
32,sonar,26,6,0,26,6,0,0,0,0,0,0,0,0
33,Rum runner,16,6,0,16,6,0,0,0,0,0,0,0,0
36,gibbs,30,5,0,30,5,0,0,0,0,0,0,0,0
50,shiny,587,0,0,587,0,0,0,0,0,0,0,0,0
37,APOLO1,27,5,0,27,5,0,0,0,0,0,0,0,0
38,ragnaR,13,4,0,13,4,0,0,0,0,0,0,0,0
40,Lil Doom,0,4,0,0,4,0,0,0,0,0,0,0,0
11,Orkam,24,6,2,24,6,2,0,0,0,0,0,0,0
42,Drunkard,65,2,0,65,2,0,0,0,0,0,0,0,0
44,ygritte,0,2,0,0,2,0,0,0,0,0,0,0,0
45,LeGOLaS,0,2,0,0,2,0,0,0,0,0,0,0,0
15,CHOCO1,287,23,1,287,23,1,0,0,0,0,0,0,0
47,Lil Stinker,4,1,0,4,1,0,0,0,0,0,0,0,0
48,bj00,0,1,0,0,1,0,0,0,0,0,0,0,0
77,goofball,0,0,0,0,0,0,0,0,0,0,0,0,0
