,Players,Prev4's,Prev5's,Prev6's,Cur4's,Cur5's,Cur6's,Inc4's,Inc5's,Inc6's,4@1point,5@5point,6@5point,total
13,Oma2015,0,0,0,551,12,2,551,12,2,551,60,10,621
0,Brokenjades,294,1351,77,294,1369,81,0,18,4,0,90,20,110
31,FLuffyBunny,1538,12,0,1538,26,0,0,14,0,0,70,0,70
1,alek,16,52,51,19,58,58,3,6,7,3,30,35,68
10,Perun,178,13,4,206,21,4,28,8,0,28,40,0,68
6,LILth,119,99,6,120,112,6,1,13,0,1,65,0,66
2,Dazzerrie,3,88,36,3,99,38,0,11,2,0,55,10,65
23,8track,2181,120,0,2185,130,0,4,10,0,4,50,0,54
24,TortureAngel,130,88,0,134,98,0,4,10,0,4,50,0,54
3,Lil Doom,79,54,16,82,62,18,3,8,2,3,40,10,53
11,YumYum,279,5,1,313,5,3,34,0,2,34,0,10,44
28,foolballs,112,37,0,113,44,0,1,7,0,1,35,0,36
14,Yummers,285,3,2,318,3,2,33,0,0,33,0,0,33
7,Lil Stinker,189,0,5,210,1,6,21,1,1,21,5,5,31
19,DagNab It,233,0,1,260,0,1,27,0,0,27,0,0,27
21,ReyNema,1051,226,0,1070,227,0,19,1,0,19,5,0,24
12,ZorO,723,168,2,729,171,2,6,3,0,6,15,0,21
26,LadyRooRoo,35,50,0,43,52,0,8,2,0,8,10,0,18
15,LadyMayMay,35,59,1,42,61,1,7,2,0,7,10,0,17
45,ReyN,46,5,0,62,5,0,16,0,0,16,0,0,16
16,LadyLu,27,56,1,33,58,1,6,2,0,6,10,0,16
9,Loos shadow,1525,126,4,1534,127,4,9,1,0,9,5,0,14
4,Lady Lioness,68,8,8,71,10,8,3,2,0,3,10,0,13
61,MoOnY,0,0,0,13,0,0,13,0,0,13,0,0,13
32,Sturmcrow,157,25,0,163,26,0,6,1,0,6,5,0,11
8,Loos,1627,119,5,1633,120,5,6,1,0,6,5,0,11
33,kela,38,16,0,39,18,0,1,2,0,1,10,0,11
25,Wolffsson,677,76,0,687,76,0,10,0,0,10,0,0,10
30,bj03,223,26,0,223,28,0,0,2,0,0,10,0,10
42,lil tanky,25,6,0,25,8,0,0,2,0,0,10,0,10
35,goofbals,25,12,0,25,14,0,0,2,0,0,10,0,10
57,brokenjade02,34,0,0,43,0,0,9,0,0,9,0,0,9
52,shiny,379,0,0,387,0,0,8,0,0,8,0,0,8
27,Laxuss Redwyne,236,50,0,238,51,0,2,1,0,2,5,0,7
66,Emperor Nun,0,0,0,6,0,0,6,0,0,6,0,0,6
44,Chaos2018,468,5,0,474,5,0,6,0,0,6,0,0,6
49,Drunkard,24,2,0,30,2,0,6,0,0,6,0,0,6
5,RaGnar,1,3,6,1,3,7,0,0,1,0,0,5,5
39,Lord Greg,302,12,0,305,12,0,3,0,0,3,0,0,3
58,Borutha,17,0,0,19,0,0,2,0,0,2,0,0,2
40,CHOCO TWIST,269,9,0,270,9,0,1,0,0,1,0,0,1
59,kela2,16,0,0,17,0,0,1,0,0,1,0,0,1
29,bj01,35,33,0,36,33,0,1,0,0,1,0,0,1
18,CHOCO1,275,23,1,276,23,1,1,0,0,1,0,0,1
65,Wolvesbane,5,0,0,6,0,0,1,0,0,1,0,0,1
69,jujuFarm,1,0,0,1,0,0,0,0,0,0,0,0,0
64,Flowki,13,0,0,13,0,0,0,0,0,0,0,0,0
